,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,Year,corn_yield_per_acre,corn_price_per_bushel,land_rental_price,corn_planted_acres,year,total_rain,rain_days,max_temp,min_temp,max_wind,too_cold_days,too_hot_days
14,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2017,91.7,3.7,10.5,"8,900",2017.0,0.0,0.0,104.0,47.84,,2.0,59.0
15,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2016,96.4,3.71,94.0,"9,900",2016.0,0.0,0.0,101.12,52.34,,0.0,35.0
16,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2016,96.4,3.71,17.5,"9,900",2016.0,0.0,0.0,101.12,52.34,,0.0,35.0
17,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2016,96.4,3.71,12.0,"9,900",2016.0,0.0,0.0,101.12,52.34,,0.0,35.0
18,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2015,100.6,4.2,,"7,000",2015.0,0.0,0.0,102.38,51.44,,0.0,38.0
19,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2014,69.9,4.42,91.5,"5,900",2014.0,0.0,0.0,101.66,46.04,,2.0,50.0
20,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2014,69.9,4.42,17.0,"5,900",2014.0,0.0,0.0,101.66,46.04,,2.0,50.0
21,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2014,69.9,4.42,9.6,"5,900",2014.0,0.0,0.0,101.66,46.04,,2.0,50.0
22,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2013,87.2,5.14,87.5,"6,500",2013.0,0.0,0.0,104.9,41.18,,2.0,52.0
23,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2013,87.2,5.14,18.0,"6,500",2013.0,0.0,0.0,104.9,41.18,,2.0,52.0
24,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2013,87.2,5.14,9.0,"6,500",2013.0,0.0,0.0,104.9,41.18,,2.0,52.0
25,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2012,83.3,7.12,85.0,"7,200",2012.0,0.0,0.0,103.1,58.64,,0.0,52.0
26,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2012,83.3,7.12,9.4,"7,200",2012.0,0.0,0.0,103.1,58.64,,0.0,52.0
27,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2021,126.6,5.35,90.0,"1,530",2021.0,23.964566929133856,63.0,93.02,32.0,,21.0,0.0
28,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2020,131.6,4.72,,"1,240",2020.0,0.42913385826771655,4.0,96.98,28.04,,23.0,4.0
29,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2019,130.0,3.73,,500,2019.0,2.9803149606299217,11.0,96.08,39.02,,17.0,1.0
30,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2018,116.7,3.72,,600,2018.0,1.5196850393700791,9.0,96.98,42.98,,11.0,7.0
31,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2017,136.4,3.46,,"1,100",2017.0,0.6141732283464567,4.0,95.0,32.0,,29.0,0.0
32,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2016,116.7,3.44,,"1,200",2016.0,2.0078740157480315,10.0,98.06,39.92,,13.0,9.0
33,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2015,130.0,3.63,,"1,000",2015.0,2.240157480314961,8.0,96.08,39.02,,12.0,1.0
34,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2014,150.0,3.65,,"2,000",2014.0,1.0551181102362206,4.0,96.08,37.04,,22.0,1.0
35,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2013,130.0,4.18,,"2,000",2013.0,3.1102362204724403,17.0,96.08,30.02,,26.0,1.0
36,WAYNE,Wayne,Wayne County,26163,MI,MICHIGAN,42.2819,-83.2822,1753059,2012,83.5,6.69,,"2,300",2012.0,1.0354330708661421,15.0,105.08,39.02,,25.0,19.0
37,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2021,216.2,6.15,245.0,"8,790",2021.0,0.2362204724409449,3.0,111.2,41.0,,11.0,41.0
38,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2021,216.2,6.15,38.5,"8,790",2021.0,0.2362204724409449,3.0,111.2,41.0,,11.0,41.0
39,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2021,216.2,6.15,22.5,"8,790",2021.0,0.2362204724409449,3.0,111.2,41.0,,11.0,41.0
40,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2019,150.0,4.6,280.0,"9,000",,,,,,,,
41,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2019,150.0,4.6,22.0,"9,000",,,,,,,,
42,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2019,150.0,4.6,28.5,"9,000",,,,,,,,
43,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2018,172.9,4.4,,"5,900",,,,,,,,
44,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2016,213.5,4.69,253.0,"11,900",,,,,,,,
45,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2016,213.5,4.69,40.0,"11,900",,,,,,,,
46,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2016,213.5,4.69,37.0,"11,900",,,,,,,,
47,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2015,157.4,4.39,,"17,900",,,,,,,,
48,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2014,173.0,4.81,243.0,"10,000",,,,,,,,
49,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2014,173.0,4.81,40.0,"10,000",,,,,,,,
50,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2014,173.0,4.81,18.5,"10,000",,,,,,,,
51,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2013,173.9,5.33,243.0,"23,000",,,,,,,,
52,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2013,173.9,5.33,44.5,"23,000",,,,,,,,
53,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2013,173.9,5.33,18.5,"23,000",,,,,,,,
54,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2012,165.9,6.68,249.0,"22,000",,,,,,,,
55,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2012,165.9,6.68,34.0,"22,000",,,,,,,,
56,SACRAMENTO,Sacramento,Sacramento County,6067,CA,CALIFORNIA,38.4493,-121.3443,1537948,2012,165.9,6.68,20.0,"22,000",,,,,,,,
57,SUFFOLK,Suffolk,Suffolk County,36103,NY,NEW YORK,40.8686,-72.8448,1481364,2021,128.0,6.5,296.0,400,2021.0,24.078740157480322,56.0,91.04,42.08,,17.0,0.0
58,SUFFOLK,Suffolk,Suffolk County,36103,NY,NEW YORK,40.8686,-72.8448,1481364,2021,128.0,6.5,140.0,400,2021.0,24.078740157480322,56.0,91.04,42.08,,17.0,0.0
59,SUFFOLK,Suffolk,Suffolk County,36103,NY,NEW YORK,40.8686,-72.8448,1481364,2020,125.1,6.1,,450,2020.0,1.1181102362204725,4.0,95.0,35.96,,19.0,0.0
60,SUFFOLK,Suffolk,Suffolk County,36103,NY,NEW YORK,40.8686,-72.8448,1481364,2019,124.0,4.2,126.0,500,2019.0,1.2362204724409451,4.0,96.08,42.08,,19.0,1.0
61,SUFFOLK,Suffolk,Suffolk County,36103,NY,NEW YORK,40.8686,-72.8448,1481364,2015,116.7,4.01,,600,2015.0,0.7283464566929134,6.0,93.92,35.96,,13.0,0.0
62,SUFFOLK,Suffolk,Suffolk County,36103,NY,NEW YORK,40.8686,-72.8448,1481364,2012,152.7,6.78,103.0,"1,100",2012.0,5.685039370078743,19.0,95.0,44.06,,11.0,0.0
63,FRANKLIN,Franklin,Franklin County,39049,OH,OHIO,39.9695,-83.0093,1304715,2020,167.0,4.69,182.0,"12,700",2020.0,0.0,0.0,91.4,29.48,,25.0,0.0
64,FRANKLIN,Franklin,Franklin County,39049,OH,OHIO,39.9695,-83.0093,1304715,2019,154.8,3.91,181.0,"15,500",2019.0,0.0,0.0,89.6,49.82,,1.0,0.0
65,FRANKLIN,Franklin,Franklin County,39049,OH,OHIO,39.9695,-83.0093,1304715,2018,165.0,3.74,,"14,800",,,,,,,,
66,FRANKLIN,Franklin,Franklin County,39049,OH,OHIO,39.9695,-83.0093,1304715,2017,167.7,3.61,157.0,"15,500",2017.0,0.0,0.0,60.8,45.86,,1.0,0.0
67,FRANKLIN,Franklin,Franklin County,39049,OH,OHIO,39.9695,-83.0093,1304715,2016,165.8,3.61,145.0,"15,500",2016.0,0.0,0.0,93.2,42.08,,5.0,0.0
68,FRANKLIN,Franklin,Franklin County,39049,OH,OHIO,39.9695,-83.0093,1304715,2015,159.4,3.89,,"16,000",2015.0,0.0,0.0,89.6,47.3,,1.0,0.0
69,FRANKLIN,Franklin,Franklin County,39049,OH,OHIO,39.9695,-83.0093,1304715,2014,173.2,3.78,143.0,"15,800",2014.0,0.0,0.0,87.80000000000003,35.24,,4.0,0.0
70,FRANKLIN,Franklin,Franklin County,39049,OH,OHIO,39.9695,-83.0093,1304715,2013,175.8,4.41,126.0,"19,400",2013.0,0.0,0.0,77.0,51.8,,0.0,0.0
71,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2021,165.6,5.35,68.0,"1,800",2021.0,21.704724409448826,70.0,89.96000000000002,30.92,,26.0,0.0
72,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2020,140.1,4.72,,"1,920",2020.0,0.84251968503937,2.0,93.92,28.04,,25.0,0.0
73,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2019,133.3,3.73,56.0,"2,100",2019.0,0.7440944881889764,5.0,93.02,37.94,,24.0,0.0
74,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2018,151.9,3.72,,"2,700",2018.0,0.8661417322834646,4.0,93.92,39.92,,13.0,0.0
75,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2017,151.9,3.46,55.0,"2,700",2017.0,2.1417322834645667,5.0,91.04,30.02,,29.0,0.0
76,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2015,145.0,3.63,,"2,000",2015.0,1.9921259842519683,6.0,89.96000000000002,35.06,,25.0,0.0
77,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2014,139.3,3.65,44.0,"2,800",2014.0,2.5944881889763782,9.0,91.04,33.98,,30.0,0.0
78,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2013,153.3,4.18,,"3,000",2013.0,2.255905511811024,9.0,93.02,30.02,,31.0,0.0
79,OAKLAND,Oakland,Oakland County,26125,MI,MICHIGAN,42.6604,-83.3858,1255340,2012,120.6,6.69,,"3,300",2012.0,0.3425196850393701,5.0,98.96,37.94,,33.0,4.0
80,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2021,156.8,5.35,145.0,"9,910",2021.0,11.791338582677168,48.0,98.96,30.02,,28.0,6.0
81,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2020,196.7,4.52,137.0,"12,800",2020.0,1.9330708661417324,8.0,96.98,28.04,,25.0,1.0
82,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2019,140.4,3.26,137.0,"7,400",2019.0,6.169291338582678,12.0,93.92,30.92,,32.0,0.0
83,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2018,188.1,3.47,,"11,800",2018.0,1.0669291338582678,8.0,100.04,33.98,,17.0,2.0
84,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2017,171.0,3.18,131.0,"12,100",2017.0,3.0551181102362204,9.0,93.92,35.06,,30.0,0.0
85,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2016,186.6,3.21,133.0,"14,300",2016.0,0.23228346456692914,5.0,96.08,32.0,,22.0,1.0
86,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2015,198.5,3.37,,"13,100",2015.0,3.0196850393700783,10.0,91.94,35.96,,25.0,0.0
87,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2014,138.4,3.58,142.0,"9,340",2014.0,1.1062992125984252,9.0,91.04,35.96,,28.0,0.0
88,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2013,154.7,4.3,126.0,"13,800",2013.0,0.6220472440944883,6.0,96.08,30.92,,27.0,3.0
89,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2013,154.7,4.3,30.0,"13,800",2013.0,0.6220472440944883,6.0,96.08,30.92,,27.0,3.0
90,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2012,164.0,6.67,112.0,"14,900",2012.0,7.188976377952758,13.0,98.96,33.98,,33.0,5.0
91,HENNEPIN,Hennepin,Hennepin County,27053,MN,MINNESOTA,45.0045,-93.477,1255296,2012,164.0,6.67,18.0,"14,900",2012.0,7.188976377952758,13.0,98.96,33.98,,33.0,5.0
92,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2021,78.0,6.0,108.0,"14,200",2021.0,20.263779527559066,46.0,102.02,57.92,,0.0,56.0
93,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2021,78.0,6.0,31.0,"14,200",2021.0,20.263779527559066,46.0,102.02,57.92,,0.0,56.0
94,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2021,78.0,6.0,7.7,"14,200",2021.0,20.263779527559066,46.0,102.02,57.92,,0.0,56.0
95,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2019,76.3,4.2,24.5,"15,400",2019.0,14.51968503937008,31.0,105.08,55.040000000000006,,0.0,86.0
96,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2019,76.3,4.2,7.3,"15,400",2019.0,14.51968503937008,31.0,105.08,55.040000000000006,,0.0,86.0
97,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2018,60.1,4.13,,"13,800",2018.0,19.019685039370078,40.0,109.94,57.92,,0.0,90.0
98,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2017,91.0,3.7,25.0,"15,800",2017.0,18.610236220472444,35.0,107.06,51.08,,0.0,67.0
99,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2017,91.0,3.7,6.3,"15,800",2017.0,18.610236220472444,35.0,107.06,51.08,,0.0,67.0
100,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2016,65.1,3.71,22.5,"16,200",2016.0,20.732283464566933,48.0,105.08,53.96,,0.0,59.0
101,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2016,65.1,3.71,7.0,"16,200",2016.0,20.732283464566933,48.0,105.08,53.96,,0.0,59.0
102,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2015,50.5,4.2,,"11,000",2015.0,28.720472440944892,35.0,105.08,55.040000000000006,,0.0,56.0
103,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2014,71.3,4.42,23.0,"16,400",2014.0,22.86220472440945,35.0,104.0,46.04,,1.0,58.0
104,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2014,71.3,4.42,8.8,"16,400",2014.0,22.86220472440945,35.0,104.0,46.04,,1.0,58.0
105,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2013,54.3,5.14,20.5,"15,300",2013.0,15.96062992125985,35.0,107.96,44.06,,3.0,89.0
106,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2013,54.3,5.14,8.3,"15,300",2013.0,15.96062992125985,35.0,107.96,44.06,,3.0,89.0
107,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2012,72.8,7.12,20.0,"10,900",2012.0,18.307086614173233,29.0,109.04,59.0,,0.0,73.0
108,TRAVIS,Travis,Travis County,48453,TX,TEXAS,30.3344,-97.78200000000001,1250884,2012,72.8,7.12,8.4,"10,900",2012.0,18.307086614173233,29.0,109.04,59.0,,0.0,73.0
109,ALLEGHENY,Allegheny,Allegheny County,42003,PA,PENNSYLVANIA,40.4688,-79.9812,1218380,2021,139.0,6.05,27.0,480,2021.0,20.720472440944885,55.0,91.94,32.0,,27.0,0.0
110,ALLEGHENY,Allegheny,Allegheny County,42003,PA,PENNSYLVANIA,40.4688,-79.9812,1218380,2019,117.8,4.13,17.5,400,2019.0,27.11417322834645,69.0,89.96000000000002,42.08,,13.0,0.0
111,ALLEGHENY,Allegheny,Allegheny County,42003,PA,PENNSYLVANIA,40.4688,-79.9812,1218380,2018,124.0,4.22,,500,2018.0,25.92913385826772,62.0,95.0,42.98,,7.0,0.0
112,ALLEGHENY,Allegheny,Allegheny County,42003,PA,PENNSYLVANIA,40.4688,-79.9812,1218380,2017,155.1,3.87,17.5,550,2017.0,18.562992125984266,62.0,91.04,33.08,,20.0,0.0
113,ALLEGHENY,Allegheny,Allegheny County,42003,PA,PENNSYLVANIA,40.4688,-79.9812,1218380,2016,75.0,4.04,18.5,800,2016.0,16.228346456692922,64.0,93.02,35.06,,15.0,0.0
114,ALLEGHENY,Allegheny,Allegheny County,42003,PA,PENNSYLVANIA,40.4688,-79.9812,1218380,2013,154.5,4.47,19.0,"1,100",2013.0,18.078740157480322,58.0,91.04,31.1,,23.0,0.0
115,ALLEGHENY,Allegheny,Allegheny County,42003,PA,PENNSYLVANIA,40.4688,-79.9812,1218380,2012,103.0,7.21,22.5,"1,000",2012.0,20.712598425196852,54.0,98.06,39.02,,22.0,5.0
116,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2021,124.0,5.95,86.5,"1,130",2021.0,20.38188976377953,46.0,100.04,37.04,,11.0,6.0
117,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2021,124.0,5.95,74.5,"1,130",2021.0,20.38188976377953,46.0,100.04,37.04,,11.0,6.0
118,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2021,124.0,5.95,33.0,"1,130",2021.0,20.38188976377953,46.0,100.04,37.04,,11.0,6.0
119,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2020,85.6,4.7,80.0,660,2020.0,25.41338582677164,56.0,96.98,35.96,,11.0,5.0
120,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2020,85.6,4.7,74.0,660,2020.0,25.41338582677164,56.0,96.98,35.96,,11.0,5.0
121,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2020,85.6,4.7,30.0,660,2020.0,25.41338582677164,56.0,96.98,35.96,,11.0,5.0
122,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2018,42.7,4.39,,480,2018.0,26.61023622047245,69.0,98.06,44.96,,1.0,4.0
123,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2017,83.0,4.24,90.0,300,2017.0,21.46062992125985,56.0,102.02,42.98,,4.0,8.0
124,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2017,83.0,4.24,70.0,300,2017.0,21.46062992125985,56.0,102.02,42.98,,4.0,8.0
125,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2017,83.0,4.24,26.0,300,2017.0,21.46062992125985,56.0,102.02,42.98,,4.0,8.0
126,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2016,90.0,4.07,60.0,600,2016.0,27.92913385826772,60.0,98.96,42.08,,3.0,10.0
127,WAKE,Wake,Wake County,37183,NC,NORTH CAROLINA,35.7903,-78.6503,1091662,2016,90.0,4.07,23.0,600,2016.0,27.92913385826772,60.0,98.96,42.08,,3.0,10.0
128,MONTGOMERY,Montgomery,Montgomery County,24031,MD,MARYLAND,39.1363,-77.2042,1047661,2021,178.9,5.95,66.5,"10,500",,,,,,,,
129,MONTGOMERY,Montgomery,Montgomery County,24031,MD,MARYLAND,39.1363,-77.2042,1047661,2020,161.0,5.6,59.5,"10,700",,,,,,,,
130,MONTGOMERY,Montgomery,Montgomery County,24031,MD,MARYLAND,39.1363,-77.2042,1047661,2015,164.2,3.88,,"8,800",,,,,,,,
131,MONTGOMERY,Montgomery,Montgomery County,24031,MD,MARYLAND,39.1363,-77.2042,1047661,2014,137.7,3.79,41.5,"9,600",,,,,,,,
132,MONTGOMERY,Montgomery,Montgomery County,24031,MD,MARYLAND,39.1363,-77.2042,1047661,2013,161.0,4.84,80.5,"10,000",,,,,,,,
133,MONTGOMERY,Montgomery,Montgomery County,24031,MD,MARYLAND,39.1363,-77.2042,1047661,2013,161.0,4.84,41.5,"10,000",,,,,,,,
134,MONTGOMERY,Montgomery,Montgomery County,24031,MD,MARYLAND,39.1363,-77.2042,1047661,2012,139.1,7.3,56.0,"10,500",,,,,,,,
135,MONTGOMERY,Montgomery,Montgomery County,24031,MD,MARYLAND,39.1363,-77.2042,1047661,2012,139.1,7.3,41.0,"10,500",,,,,,,,
136,COLLIN,Collin,Collin County,48085,TX,TEXAS,33.188,-96.5724,1006038,2021,54.4,6.0,18.5,"17,300",2021.0,18.21259842519685,45.0,98.06,48.02,,2.0,17.0
137,COLLIN,Collin,Collin County,48085,TX,TEXAS,33.188,-96.5724,1006038,2021,54.4,6.0,11.0,"17,300",2021.0,18.21259842519685,45.0,98.06,48.02,,2.0,17.0
138,COLLIN,Collin,Collin County,48085,TX,TEXAS,33.188,-96.5724,1006038,2020,89.6,4.52,18.0,"8,230",2020.0,3.1732283464566935,6.0,104.0,48.02,,4.0,24.0
139,COLLIN,Collin,Collin County,48085,TX,TEXAS,33.188,-96.5724,1006038,2020,89.6,4.52,11.5,"8,230",2020.0,3.1732283464566935,6.0,104.0,48.02,,4.0,24.0
140,COLLIN,Collin,Collin County,48085,TX,TEXAS,33.188,-96.5724,1006038,2019,90.4,4.2,16.5,"11,500",2019.0,1.7913385826771655,4.0,102.02,50.0,,0.0,30.0
141,COLLIN,Collin,Collin County,48085,TX,TEXAS,33.188,-96.5724,1006038,2019,90.4,4.2,11.5,"11,500",2019.0,1.7913385826771655,4.0,102.02,50.0,,0.0,30.0
